date,nb_comments
2015-12-15,94.0
2015-12-16,74.0
2015-12-17,4.0
2015-12-30,2.0
2015-12-31,116.0
2016-01-01,4.0
2016-01-18,146.0
2016-01-19,16.0
2016-01-20,1.0
2016-01-21,3.0
2016-01-25,75.0
2016-01-26,30.0
2016-01-27,2.0
2016-02-01,1.0
2016-02-08,1.0
2016-02-11,83.0
2016-02-12,8.0
2016-02-14,1.0
2016-02-25,117.0
2016-02-26,84.0
2016-02-27,41.0
2016-02-28,11.0
2016-02-29,4.0
2016-03-04,92.0
2016-03-05,160.0
2016-03-06,2.0
2016-03-12,118.0
2016-03-13,148.0
2016-03-14,6.0
2016-03-15,1.0
2016-03-18,1.0
2016-05-02,68.0
2016-05-03,82.0
2016-05-04,2.0
2016-05-05,1.0
2016-05-06,72.0
2016-05-07,8.0
2016-05-08,2.0
2016-06-30,430.0
2016-07-01,33.0
2016-07-02,6.0
2016-07-03,20.0
2016-07-13,1.0
2016-07-26,1.0
2016-09-22,5.0
2016-11-14,146.0
2016-11-15,47.0
2016-11-16,18.0
2016-11-17,6.0
2016-11-18,4.0
2016-11-19,5.0
2016-11-21,2.0
2016-11-23,5.0
2016-11-24,3.0
2016-11-25,104.0
2016-11-26,10.0
2016-11-27,10.0
2016-11-28,1.0
2016-12-01,1.0
2016-12-02,3.0
2016-12-03,3.0
2016-12-05,3.0
2016-12-13,1.0
2016-12-14,7.0
2016-12-17,1.0
2016-12-20,1.0
2016-12-23,7.0
2016-12-24,2.0
2017-01-01,21.0
2017-01-02,19.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,2.0
2017-01-07,1.0
2017-01-09,1.0
2017-01-10,1.0
2017-01-13,1.0
2017-01-19,28.0
2017-01-20,188.0
2017-01-21,29.0
2017-01-22,4.0
2017-01-23,4.0
2017-01-24,3.0
2017-01-28,1.0
2017-01-29,1.0
2017-01-30,111.0
2017-01-31,143.0
2017-02-01,4.0
2017-02-02,35.0
2017-02-03,55.0
2017-02-04,4.0
2017-02-05,1.0
2017-02-06,4.0
2017-02-08,2.0
2017-02-09,96.0
2017-02-10,43.0
2017-02-11,4.0
2017-02-12,2.0
2017-02-13,2.0
2017-02-19,1.0
2017-02-21,1.0
2017-02-22,1.0
2017-02-27,157.0
2017-02-28,49.0
2017-03-02,129.0
2017-03-03,22.0
2017-03-04,1.0
2017-03-06,502.0
2017-03-07,227.0
2017-03-08,11.0
2017-03-12,53.0
2017-03-13,167.0
2017-03-14,18.0
2017-03-15,344.0
2017-03-16,50.0
2017-03-18,88.0
2017-03-19,36.0
2017-03-20,156.0
2017-03-21,19.0
2017-03-22,1.0
2017-03-23,85.0
2017-03-24,9.0
2017-03-27,301.0
2017-03-28,175.0
2017-03-29,20.0
2017-03-30,3.0
2017-04-08,1.0
2017-05-01,200.0
2017-05-02,104.0
2017-05-03,5.0
2017-05-04,379.0
2017-05-05,144.0
2017-05-06,12.0
2017-05-07,4.0
2017-05-08,7.0
2017-05-09,3.0
2017-05-10,5.0
2017-05-11,2.0
2017-05-12,1.0
2017-05-17,110.0
2017-05-18,65.0
2017-05-19,172.0
2017-05-20,82.0
2017-05-21,5.0
2017-05-22,1.0
2017-05-24,3.0
2017-05-26,1.0
2017-05-28,1.0
2017-05-29,1.0
2017-06-02,111.0
2017-06-03,43.0
2017-06-04,2.0
2017-06-05,18.0
2017-06-09,86.0
2017-06-10,293.0
2017-06-11,190.0
2017-06-12,21.0
2017-06-13,10.0
2017-06-14,438.0
2017-06-15,20.0
2017-06-18,3.0
2017-06-19,3.0
2017-06-22,136.0
2017-06-23,75.0
2017-06-24,9.0
2017-06-25,1.0
2017-06-26,3.0
2017-06-27,478.0
2017-06-28,178.0
2017-06-29,9.0
2017-07-16,2.0
2017-07-18,1.0
2017-07-22,109.0
2017-07-23,21.0
2017-07-24,4.0
2017-07-25,243.0
2017-07-26,45.0
2017-07-27,5.0
2017-07-28,5.0
2017-07-30,248.0
2017-07-31,65.0
2017-08-01,734.0
2017-08-02,714.0
2017-08-03,761.0
2017-08-04,455.0
2017-08-05,629.0
2017-08-06,112.0
2017-08-07,275.0
2017-08-08,75.0
2017-08-09,35.0
2017-08-10,9.0
2017-08-11,258.0
2017-08-12,145.0
2017-08-13,199.0
2017-08-14,41.0
2017-08-15,2.0
2017-08-16,181.0
2017-08-17,198.0
2017-08-18,155.0
2017-08-19,178.0
2017-08-20,276.0
2017-08-21,143.0
2017-08-22,423.0
2017-08-23,326.0
2017-08-24,161.0
2017-08-25,193.0
2017-08-26,137.0
2017-08-27,108.0
2017-08-28,90.0
2017-08-29,234.0
2017-08-30,412.0
2017-08-31,104.0
2017-09-01,103.0
2017-09-02,10.0
2017-09-03,217.0
2017-09-04,27.0
2017-09-05,15.0
2017-09-06,12.0
2017-09-07,64.0
2017-09-08,259.0
2017-09-09,169.0
2017-09-10,19.0
2017-09-11,11.0
2017-09-12,10.0
2017-09-13,5.0
2017-09-14,4.0
2017-09-15,2.0
2017-09-16,1.0
2017-09-17,8.0
2017-09-18,1.0
2017-09-19,3.0
2017-09-21,1.0
2017-09-24,107.0
2017-09-25,66.0
2017-09-26,53.0
2017-09-27,68.0
2017-09-28,57.0
2017-09-29,4.0
2017-09-30,383.0
2017-10-01,10.0
2017-10-02,7.0
2017-10-03,2.0
2017-10-04,283.0
2017-10-05,189.0
2017-10-06,28.0
2017-10-07,5.0
2017-10-10,1.0
2017-10-11,53.0
2017-10-12,460.0
2017-10-13,297.0
2017-10-14,147.0
2017-10-15,88.0
2017-10-16,278.0
2017-10-17,69.0
2017-10-18,60.0
2017-10-19,134.0
2017-10-20,175.0
2017-10-21,311.0
2017-10-22,42.0
2017-10-23,61.0
2017-10-24,321.0
2017-10-25,24.0
2017-10-26,247.0
2017-10-27,225.0
2017-10-28,94.0
2017-10-29,105.0
2017-10-30,39.0
2017-10-31,69.0
2017-11-01,150.0
2017-11-02,502.0
2017-11-03,180.0
2017-11-04,87.0
2017-11-05,232.0
2017-11-06,344.0
2017-11-07,495.0
2017-11-08,1260.0
2017-11-09,704.0
2017-11-10,858.0
2017-11-11,1035.0
2017-11-12,1155.0
2017-11-13,989.0
2017-11-14,1545.0
2017-11-15,1467.0
2017-11-16,1899.0
2017-11-17,1536.0
2017-11-18,561.0
2017-11-19,733.0
2017-11-20,445.0
2017-11-21,1445.0
2017-11-22,946.0
2017-11-23,386.0
2017-11-24,451.0
2017-11-25,267.0
2017-11-26,619.0
2017-11-27,558.0
2017-11-28,1078.0
2017-11-29,749.0
2017-11-30,384.0
2017-12-01,585.0
2017-12-02,159.0
2017-12-03,165.0
2017-12-04,626.0
2017-12-05,256.0
2017-12-06,1258.0
2017-12-07,1451.0
2017-12-08,683.0
2017-12-09,487.0
2017-12-10,420.0
2017-12-11,969.0
2017-12-12,816.0
2017-12-13,528.0
2017-12-14,862.0
2017-12-15,562.0
2017-12-16,399.0
2017-12-17,413.0
2017-12-18,1155.0
2017-12-19,912.0
2017-12-20,2760.0
2017-12-21,1446.0
2017-12-22,1345.0
2017-12-23,1163.0
2017-12-24,490.0
2017-12-25,2407.0
2017-12-26,944.0
2017-12-27,951.0
2017-12-28,768.0
2017-12-29,226.0
2017-12-30,1376.0
2017-12-31,447.0
2018-01-01,566.0
2018-01-02,290.0
2018-01-03,188.0
2018-01-04,564.0
2018-01-05,608.0
2018-01-06,910.0
2018-01-07,918.0
2018-01-08,550.0
2018-01-09,935.0
2018-01-10,1402.0
2018-01-11,617.0
2018-01-12,487.0
2018-01-13,392.0
2018-01-14,481.0
2018-01-15,294.0
2018-01-16,544.0
2018-01-17,592.0
2018-01-18,421.0
2018-01-19,673.0
2018-01-20,283.0
2018-01-21,261.0
2018-01-22,460.0
2018-01-23,350.0
2018-01-24,261.0
2018-01-25,398.0
2018-01-26,180.0
2018-01-27,268.0
2018-01-28,169.0
2018-01-29,403.0
2018-01-30,290.0
2018-01-31,137.0
2018-02-01,220.0
2018-02-02,721.0
2018-02-03,332.0
2018-02-04,239.0
2018-02-05,238.0
2018-02-06,354.0
2018-02-07,635.0
2018-02-08,575.0
2018-02-09,93.0
2018-02-10,67.0
2018-02-11,206.0
2018-02-12,124.0
2018-02-13,518.0
2018-02-14,152.0
2018-02-15,237.0
2018-02-16,161.0
2018-02-17,123.0
2018-02-18,194.0
2018-02-19,394.0
2018-02-20,277.0
2018-02-21,197.0
2018-02-22,410.0
2018-02-23,76.0
2018-02-24,46.0
2018-02-25,65.0
2018-02-26,163.0
2018-02-27,43.0
2018-02-28,3.0
2018-03-01,42.0
2018-03-02,230.0
2018-03-03,127.0
2018-03-04,101.0
2018-03-05,110.0
2018-03-06,264.0
2018-03-07,339.0
2018-03-08,348.0
2018-03-09,313.0
2018-03-10,100.0
2018-03-11,139.0
2018-03-12,183.0
2018-03-13,260.0
2018-03-14,102.0
2018-03-15,61.0
2018-03-16,25.0
2018-03-17,145.0
2018-03-18,129.0
2018-03-19,32.0
2018-03-20,180.0
2018-03-21,643.0
2018-03-22,136.0
2018-03-23,153.0
2018-03-24,8.0
2018-03-25,9.0
2018-03-26,334.0
2018-03-27,126.0
2018-03-28,59.0
2018-03-29,8.0
2018-03-30,13.0
2018-03-31,94.0
2018-04-01,271.0
2018-04-02,54.0
2018-04-03,8.0
2018-04-04,528.0
2018-04-05,613.0
2018-04-06,156.0
2018-04-07,35.0
2018-04-08,171.0
2018-04-09,211.0
2018-04-10,166.0
2018-04-11,76.0
2018-04-12,41.0
2018-04-13,17.0
2018-04-14,8.0
2018-04-15,130.0
2018-04-16,44.0
2018-04-17,274.0
2018-04-18,285.0
2018-04-19,357.0
2018-04-20,99.0
2018-04-21,11.0
2018-04-22,3.0
2018-04-23,8.0
2018-04-24,180.0
2018-04-25,180.0
2018-04-26,62.0
2018-04-27,538.0
2018-04-28,247.0
2018-04-29,115.0
2018-04-30,293.0
2018-05-01,61.0
2018-05-02,13.0
2018-05-03,225.0
2018-05-04,110.0
2018-05-05,201.0
2018-05-06,185.0
2018-05-07,27.0
2018-05-08,270.0
2018-05-09,99.0
2018-05-10,68.0
2018-05-11,31.0
2018-05-12,8.0
2018-05-13,6.0
2018-05-14,79.0
2018-05-15,39.0
2018-05-16,13.0
2018-05-18,49.0
2018-05-19,64.0
2018-05-20,1.0
2018-05-21,2.0
2018-05-22,152.0
2018-05-23,56.0
2018-05-24,15.0
2018-05-25,9.0
2018-05-26,86.0
2018-05-27,328.0
2018-05-28,202.0
2018-05-29,6.0
2018-05-30,129.0
2018-05-31,39.0
2018-06-01,182.0
2018-06-02,34.0
2018-06-03,103.0
2018-06-04,101.0
2018-06-05,22.0
2018-06-06,4.0
2018-06-08,1.0
2018-06-09,245.0
2018-06-10,53.0
2018-06-11,11.0
2018-06-12,5.0
2018-06-13,269.0
2018-06-14,234.0
2018-06-15,260.0
2018-06-16,2.0
2018-06-18,227.0
2018-06-19,134.0
2018-06-20,5.0
2018-06-21,4.0
2018-06-22,2.0
2018-06-24,1.0
2018-06-25,1.0
2018-06-28,2.0
2018-06-29,6.0
2018-06-30,10.0
2018-07-02,59.0
2018-07-03,11.0
2018-07-04,98.0
2018-07-05,31.0
2018-07-06,127.0
2018-07-07,46.0
2018-07-08,1.0
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,2.0
2018-07-12,2.0
2018-07-13,5.0
2018-07-14,91.0
2018-07-15,114.0
2018-07-16,21.0
2018-07-17,5.0
2018-07-18,2.0
2018-07-19,16.0
2018-07-20,115.0
2018-07-21,44.0
2018-07-22,9.0
2018-07-23,46.0
2018-07-24,154.0
2018-07-25,3.0
2018-07-26,5.0
2018-07-28,4.0
2018-07-29,2.0
2018-07-30,6.0
2018-08-05,40.0
2018-08-06,2.0
2018-08-17,118.0
2018-08-18,42.0
2018-08-19,2.0
2018-08-21,2.0
2018-08-22,3.0
2018-08-27,1.0
2018-08-29,3.0
2018-09-06,104.0
2018-09-07,191.0
2018-09-08,15.0
2018-09-09,66.0
2018-09-10,23.0
2018-09-11,3.0
2018-09-12,2.0
2018-09-19,72.0
2018-09-20,70.0
2018-09-21,10.0
2018-09-22,4.0
2018-09-23,102.0
2018-09-24,44.0
2018-09-25,6.0
2018-09-26,6.0
2018-09-27,36.0
2018-09-28,19.0
2018-09-29,3.0
2018-09-30,3.0
2018-10-07,1.0
2018-10-08,1.0
2018-10-12,395.0
2018-10-13,72.0
2018-10-14,3.0
2018-10-17,2.0
2018-10-18,88.0
2018-10-19,15.0
2018-10-21,1.0
2018-10-22,1.0
2018-10-26,136.0
2018-10-27,4.0
2018-10-28,1.0
2018-10-29,1.0
2018-10-30,63.0
2018-10-31,16.0
2018-11-03,1.0
2018-11-04,1.0
2018-11-06,1.0
2018-11-12,1.0
2018-11-14,12.0
2018-11-15,73.0
2018-11-16,2.0
2018-11-17,3.0
2018-11-18,7.0
2018-11-19,63.0
2018-11-20,81.0
2018-11-21,1.0
2018-11-22,194.0
2018-11-23,89.0
2018-11-29,23.0
2018-11-30,8.0
2018-12-01,4.0
2018-12-04,1.0
2018-12-06,4.0
2018-12-07,1.0
2018-12-08,1.0
2018-12-09,1.0
2018-12-14,61.0
2018-12-15,56.0
2018-12-16,10.0
2018-12-17,2.0
2018-12-19,3.0
2018-12-20,1.0
2018-12-21,2.0
2018-12-28,37.0
2018-12-29,3.0
2018-12-30,4.0
2018-12-31,3.0
2019-01-02,117.0
2019-01-03,40.0
2019-01-04,7.0
2019-01-06,1.0
2019-01-10,1.0
2019-01-11,1.0
2019-01-16,12.0
2019-01-17,28.0
2019-01-18,3.0
2019-02-23,30.0
2019-02-24,16.0
2019-02-26,1.0
2019-02-27,1.0
2019-02-28,2.0
2019-03-16,1.0
2019-05-18,53.0
2019-05-19,26.0
2019-05-20,5.0
2019-05-21,6.0
2019-05-22,4.0
2019-05-23,1.0
2019-05-27,1.0
2019-06-02,3.0
2019-06-03,200.0
2019-06-04,10.0
2019-06-05,1.0
2019-06-06,1.0
2019-06-07,2.0
2019-06-08,4.0
2019-06-21,28.0
2019-06-22,51.0
2019-06-24,3.0
2019-06-27,1.0
2019-06-28,48.0
2019-06-29,4.0
2019-06-30,1.0
2019-07-03,1.0
2019-07-06,29.0
2019-07-07,33.0
2019-07-08,3.0
2019-07-09,2.0
2019-07-11,1.0
2019-07-15,29.0
2019-07-16,2.0
2019-07-18,69.0
2019-07-19,5.0
2019-07-20,2.0
2019-07-23,2.0
2019-08-04,1.0
2019-08-06,1.0
2019-08-12,159.0
2019-08-13,91.0
2019-08-18,2.0
2019-08-22,1.0
2019-08-29,2.0
2019-09-19,1.0
